filename,timestamp,bbox_id,mean_color,max_color,min_color,std_color,color_gradient
20232901920_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.ef5745b55ba8696fec809739d6cd4e04,2023-10-17 19:20:00,2,96.10669975186104,239.0,0.0,36.205589272478626,11.225806451612911
20232901930_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.d28418ba03f42433811879d6199caf88,2023-10-17 19:30:00,0,129.07705026455025,239.0,3.0,41.51714858644313,16.235890652557316
20232901930_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.d28418ba03f42433811879d6199caf88,2023-10-17 19:30:00,1,97.64717741935483,229.0,12.0,35.00988501101727,9.803763440860209
20232901930_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.d28418ba03f42433811879d6199caf88,2023-10-17 19:30:00,2,101.24498456790124,189.0,1.0,36.736746133974734,10.033436213991777
20232901940_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.fcde7533d9dcdabc48832a027ceaccea,2023-10-17 19:40:00,0,127.4054802955665,246.0,0.0,42.61410711417962,16.95525451559935
20232901940_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.fcde7533d9dcdabc48832a027ceaccea,2023-10-17 19:40:00,1,98.91730769230769,229.0,2.0,35.60421982960104,15.679487179487182
20232901940_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.fcde7533d9dcdabc48832a027ceaccea,2023-10-17 19:40:00,2,102.07641065830721,180.0,3.0,36.994238833443276,10.976489028213166
20232901950_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.b653c7b033163b254d15e23238b6e2e1,2023-10-17 19:50:00,0,128.45083014048532,246.0,6.0,41.94158129265928,14.344827586206904
20232901950_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.b653c7b033163b254d15e23238b6e2e1,2023-10-17 19:50:00,1,101.13721264367815,221.0,8.0,34.76175886785602,10.797892720306521
20232901950_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.b653c7b033163b254d15e23238b6e2e1,2023-10-17 19:50:00,2,104.28114478114477,182.0,1.0,36.4593784570905,8.466891133557809
20232902000_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.1efbf95cd042e61bcdd7c17a3b83f192,2023-10-17 20:00:00,0,127.32758620689656,241.0,1.0,43.23050632857351,15.425287356321846
20232902000_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.1efbf95cd042e61bcdd7c17a3b83f192,2023-10-17 20:00:00,1,100.02688172043011,234.0,10.0,36.27870503013344,13.638709677419342
20232902000_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.1efbf95cd042e61bcdd7c17a3b83f192,2023-10-17 20:00:00,2,104.06688963210702,190.0,4.0,36.47387218083752,6.943143812709025
20232902010_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.4c9dfbc2afe6fec7bf9eb85b888f4d1d,2023-10-17 20:10:00,0,128.27493842364532,243.0,2.0,42.413464059113885,15.3394909688013
20232902010_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.4c9dfbc2afe6fec7bf9eb85b888f4d1d,2023-10-17 20:10:00,1,102.32444168734492,221.0,11.0,35.37497921504636,10.141439205955336
20232902010_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.4c9dfbc2afe6fec7bf9eb85b888f4d1d,2023-10-17 20:10:00,2,102.21279761904762,189.0,3.0,37.61572559995916,11.61309523809524
20232902020_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.3f0835fbb3eba0c5dc270b9ff28b47b6,2023-10-17 20:20:00,0,128.3895061728395,246.0,5.0,41.34359357126282,13.84609053497941
20232902020_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.3f0835fbb3eba0c5dc270b9ff28b47b6,2023-10-17 20:20:00,1,106.234375,212.0,12.0,34.011579149990105,10.246527777777771
20232902030_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.99a0efa8c6e9ff84b58eae284726c13b,2023-10-17 20:30:00,0,107.37029569892474,228.0,2.0,34.81223605206681,7.316308243727605
20232902030_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.99a0efa8c6e9ff84b58eae284726c13b,2023-10-17 20:30:00,1,127.79916985951469,240.0,0.0,40.859604020232226,13.241805023414216
20232902040_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.c0cc85d55bd5118be24eefed8fef7282,2023-10-17 20:40:00,0,110.158357771261,208.0,11.0,34.29612499508438,6.486803519061596
20232902040_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.c0cc85d55bd5118be24eefed8fef7282,2023-10-17 20:40:00,1,128.18783068783068,255.0,5.0,39.98100289698324,10.4426807760141
20232902050_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.2a2f3aff40a845688f2be4d757c15f56,2023-10-17 20:50:00,0,129.53392857142856,244.0,7.0,38.43286715070148,9.082380952380944
20232902050_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.2a2f3aff40a845688f2be4d757c15f56,2023-10-17 20:50:00,1,111.4468954248366,208.0,5.0,33.397322749469026,3.4651416122004264
20232902100_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.b41070228a180077c5b7987458d27fe0,2023-10-17 21:00:00,0,112.48224431818181,214.0,8.0,33.27361127775337,7.322916666666657
20232902100_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.b41070228a180077c5b7987458d27fe0,2023-10-17 21:00:00,1,125.27391546162403,248.0,3.0,41.3183508387901,13.319614386355212
20232902110_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.77d107794aed17ca0c1581bc35a5b5cb,2023-10-17 21:10:00,0,113.17329545454545,216.0,10.0,33.89572617272483,10.575757575757578
20232902110_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.77d107794aed17ca0c1581bc35a5b5cb,2023-10-17 21:10:00,1,125.20632183908046,252.0,0.0,40.492783027049775,10.848275862068974
20232902120_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.2282c0abdae06cc4a3b61e0f606c587b,2023-10-17 21:20:00,0,112.63636363636364,210.0,0.0,35.102809819605675,8.492424242424235
20232902120_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.2282c0abdae06cc4a3b61e0f606c587b,2023-10-17 21:20:00,1,124.85184151785714,254.0,0.0,40.11571685507205,7.6484375
20232902130_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.cc013f05cfddb24ab0c3e5c0ef9c1431,2023-10-17 21:30:00,0,112.0234375,209.0,3.0,35.69063159483367,9.521780303030312
20232902130_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.cc013f05cfddb24ab0c3e5c0ef9c1431,2023-10-17 21:30:00,1,122.75806451612904,252.0,4.0,40.13099211832087,10.59770114942529
20232902140_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.d6f331bc2e9a72ef2a33a8f92f6158a9,2023-10-17 21:40:00,0,114.0390625,214.0,15.0,35.2313866432037,10.133522727272734
20232902140_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.d6f331bc2e9a72ef2a33a8f92f6158a9,2023-10-17 21:40:00,1,122.08314794215795,248.0,0.0,39.94553487002822,7.850574712643677
20232902150_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.601a53a44bccd911b0f5014728eea918,2023-10-17 21:50:00,0,114.7465564738292,224.0,5.0,35.27779107651932,8.014692378328732
20232902150_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.601a53a44bccd911b0f5014728eea918,2023-10-17 21:50:00,1,120.83982202447163,243.0,9.0,39.184135549001155,7.558027437893955
20232902200_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.1683566d940d52be66aecff038ec22ac,2023-10-17 22:00:00,0,115.2315340909091,208.0,2.0,34.78360988978497,9.289772727272734
20232902200_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.1683566d940d52be66aecff038ec22ac,2023-10-17 22:00:00,1,120.76379310344828,247.0,0.0,40.80126997520271,8.649042145593882
20232902210_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.065583ceeb5867cc7ccf924a48ef2ce7,2023-10-17 22:10:00,0,109.625,187.0,19.0,35.03755883114795,23.4025641025641
20232902210_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.065583ceeb5867cc7ccf924a48ef2ce7,2023-10-17 22:10:00,1,134.9162087912088,198.0,0.0,35.94229748171503,24.815018315018307
20232902210_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.065583ceeb5867cc7ccf924a48ef2ce7,2023-10-17 22:10:00,2,110.68214285714286,228.0,8.0,37.58858001825975,18.934920634920644
20232902210_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.065583ceeb5867cc7ccf924a48ef2ce7,2023-10-17 22:10:00,3,116.93210955710956,235.0,0.0,35.69238221894865,-11.203962703962702
20232902220_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.7883d5493768f9de0c9b5c3f7d078c59,2023-10-17 22:20:00,0,117.27727272727273,238.0,0.0,35.034728638078555,10.434343434343447
20232902220_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.7883d5493768f9de0c9b5c3f7d078c59,2023-10-17 22:20:00,1,116.67215256008359,253.0,6.0,39.64773554730424,5.487634970393586
20232902230_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.1b4b68c50a67849299756aef5c9eb2f5,2023-10-17 22:30:00,0,117.89914772727273,215.0,5.0,34.19219656722588,9.388257575757578
20232902230_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.1b4b68c50a67849299756aef5c9eb2f5,2023-10-17 22:30:00,1,114.32893450635386,241.0,6.0,40.604616863048086,7.436298468556529
20232902240_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.14fdb678c1aba0b36b446d77f71f054f,2023-10-17 22:40:00,0,119.87068965517241,227.0,2.0,33.43275269576096,9.85266457680251
20232902240_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.14fdb678c1aba0b36b446d77f71f054f,2023-10-17 22:40:00,1,114.19005376344086,247.0,6.0,39.426884256147446,6.582437275985654
20232902250_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.4ea18cd898c2f3fb97d43a576008b10c,2023-10-17 22:50:00,0,123.09415584415585,215.0,0.0,30.96087127749196,6.922077922077918
20232902250_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.4ea18cd898c2f3fb97d43a576008b10c,2023-10-17 22:50:00,1,112.41119791666667,249.0,1.0,39.553476849155274,7.260069444444454
20232902300_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.2909e7f10aee81ad9febe64a2d6afa3c,2023-10-17 23:00:00,0,123.1387987012987,202.0,9.0,31.82714150248525,8.589826839826841
20232902300_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.2909e7f10aee81ad9febe64a2d6afa3c,2023-10-17 23:00:00,1,110.4109375,252.0,0.0,39.83576158685092,7.024305555555543
20232902310_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.238430d66cd6d3a101e82ee0a24acd9e,2023-10-17 23:10:00,0,125.6375,218.0,17.0,29.05144490198133,8.097619047619048
20232902310_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.238430d66cd6d3a101e82ee0a24acd9e,2023-10-17 23:10:00,1,103.72850122850123,254.0,0.0,40.62512645385471,6.974064974064973
20232902320_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.d2537a48285e02b4e9b5823a544dcae6,2023-10-17 23:20:00,0,132.56887755102042,199.0,17.0,32.2518841526068,7.595238095238102
20232902320_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.d2537a48285e02b4e9b5823a544dcae6,2023-10-17 23:20:00,1,123.27441077441077,193.0,3.0,31.427734192980967,11.9304152637486
20232902320_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.d2537a48285e02b4e9b5823a544dcae6,2023-10-17 23:20:00,2,102.23443898443898,246.0,0.0,41.07368522807705,7.07261807261807
20232902330_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.b1f59468fe6d7a01a7cb92b033a1d49b,2023-10-17 23:30:00,0,130.2880658436214,219.0,19.0,27.869761434785882,4.982167352537715
20232902330_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.b1f59468fe6d7a01a7cb92b033a1d49b,2023-10-17 23:30:00,1,101.75063667232598,251.0,5.0,39.74303069166964,0.8259762308998404
20232902340_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.785b375c1c713e2737eadc5cb50c96ed,2023-10-17 23:40:00,0,127.1590909090909,212.0,15.0,32.656344120167,11.401795735129056
20232902340_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.785b375c1c713e2737eadc5cb50c96ed,2023-10-17 23:40:00,1,98.91480562448304,255.0,0.0,39.53514758967524,0.10035842293906683
20232902350_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.4cf1e0eedb2e4f69d9eac46a7d9b451c,2023-10-17 23:50:00,0,125.43025078369907,199.0,18.0,33.776519736601706,15.004179728317652
20232902350_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.4cf1e0eedb2e4f69d9eac46a7d9b451c,2023-10-17 23:50:00,1,100.5277088502895,244.0,2.0,41.045671688924365,-4.169837331127653
20232910000_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.4219d78a5ca17f1af6e182bd67e7c20c,2023-10-18 00:00:00,0,128.40740740740742,198.0,3.0,33.18597243835318,13.001122334455673
20232910000_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.4219d78a5ca17f1af6e182bd67e7c20c,2023-10-18 00:00:00,1,111.31633064516129,240.0,6.0,50.983940935455635,-15.479838709677423
20232910000_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.4219d78a5ca17f1af6e182bd67e7c20c,2023-10-18 00:00:00,2,157.43846153846152,245.0,17.0,51.92952011304936,36.502564102564094
20232910010_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.6058213263b0d769ac8c0319ebc19eb2,2023-10-18 00:10:00,0,129.78896103896105,200.0,6.0,34.27622621199925,13.220779220779235
20232910010_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.6058213263b0d769ac8c0319ebc19eb2,2023-10-18 00:10:00,1,126.34559402045633,251.0,2.0,58.336701060808664,-4.205874639391553
20232910010_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.6058213263b0d769ac8c0319ebc19eb2,2023-10-18 00:10:00,2,155.7998120300752,253.0,19.0,53.02184575987728,35.80075187969925
20232910020_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.39f463511bcefa38715d12eb13d872da,2023-10-18 00:20:00,0,133.69537037037037,209.0,17.0,32.49006652826328,12.727160493827142
20232910020_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.39f463511bcefa38715d12eb13d872da,2023-10-18 00:20:00,1,142.26770259638081,243.0,0.0,61.20732373265658,19.018882769472867
20232910030_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.3957cd5c424494d5f2cad40a1b1cbde7,2023-10-18 00:30:00,0,134.02272727272728,211.0,13.0,32.27856950249871,16.274971941638626
20232910030_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.3957cd5c424494d5f2cad40a1b1cbde7,2023-10-18 00:30:00,1,152.4750381097561,246.0,0.0,59.82821051348184,24.789380081300806
20232910030_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.3957cd5c424494d5f2cad40a1b1cbde7,2023-10-18 00:30:00,2,164.64144736842104,240.0,24.0,49.92549002308816,40.2733918128655
